Account_ID,Customer_ID,Customer_Name,Gender,Age,Email,Phone,City,Country,Account_Type,Account_Status,Transaction_ID,Transaction_Date,Transaction_Type,Amount,Currency,Description,Branch_Name,Manager_Name,Loan_ID,Loan_Amount,Interest_Rate,Tenure_Years,Investment_Type,ROI,Investment_Value,Card_Type,Late_Fee,Penalty,Tax_Amount,Total_Amount,Payment_Mode,Remarks
A4612,C58348,michael Brown,F,66,john@example.com,+917229886124,Delhi,India,Business,Inactive,T887140,2021-05-17,Transfer,862348.6829480876,GBP,Loan EMI,Downtown,Ms. Sharma,,2510842.2917093844,13.155451188647103,22.0,FD,3.2984104029134755,60691.2405053503,RuPay,4169.125439649792,8866.872271752956,3766.553764785263,1486822.6837076556,Debet,
A9831,C10810,Jane Smith,Female,29,john@example.com,+916967078911,Delhi,UK,Loan,Active,T623633,2020-07-14,Withdrawal,529691.56258243,GBP,,,,L3274,3265096.0406464124,3.0495656174843218,9.0,Bond,18.349516045474527,118150.09817704307,Amex,4510.51109982781,6943.340904661149,2614.9306570429676,1030645.689332991,UPI,Delayed
A2068,C64928,Ravi Kumar,Male,86,john@example.com,+918271335078,mumbai,USA,Savngs,Banned,T852979,2024-03-15,Deposit,659189.6290456743,USD,Transfer,,Ms. Sharma,,9127477.355046552,7.550456563002612,2.0,Mutual Fund,24.726065328551186,869999.2740819198,MasterCard,2108.6339784365764,6671.673963623534,629.3934889315256,1106347.8420567466,Debet,
A6688,C58351,,Male,75,ravi@gmail,+916508434953,Bangalore,,Business,Inactive,T752126,2024-08-21,Transfer,803065.2201234123,GBP,Investment,,Ms. Sharma,,2103689.034563995,18.139806704587027,20.0,,17.486754322301408,927620.8317291954,,2946.673745489818,6295.6583962705345,3766.553764785263,978987.5542363548,Debit,
A7621,C52283,Fatima Noor,,35,john@example.com,+916069521432,Delhi,India,Loan,Banned,T812583,2025-03-28,Withdrawal,97797.50465921982,USD,Transfer,Main,Mrs. Patel,,2001411.9372831,6.066739884259567,27.0,,24.726065328551186,2294.584031866264,RuPay,4232.0204220981705,8485.97415872661,2686.775221329316,1075623.1381563656,Debit,Good
A4340,C77472,John Doe,Mle,89,,+917840134170,Delhi,UK,Current,Inactive,T713814,2024-08-26,Transfer,593746.4123731395,INR,Loan EMI,City Center,Mrs. Patel,,6521227.043402842,22.419931174038094,29.0,FD,17.486754322301408,385861.2941365581,MasterCard,4232.0204220981705,4350.431520865205,4785.406565298379,339129.75950615224,Credit,Check required
A6487,C90840,Ravi Kumar,Mle,89,ravi@gmail,+918534518645,Mumbai,india,Savngs,,T610245,2023-02-25,Withdrawal,656180.4772382574,GBP,Loan EMI,Main,Ms. Sharma,,9190771.669159815,3.409442359835462,,Bond,8.468700247214972,460288.0228795955,Visa,4453.877253915471,8363.579799981058,5092.144389058023,1404556.5245212147,Debet,Good
A8748,C13059,John Doe,Mle,38,jane@,+918574035049,Bangalore,India,Loan,Inactive,T175345,2021-06-02,Transfer,828229.9366108056,EUR,,Main,Mr. Lee,,9266523.382259827,24.963795729110984,5.0,FD,22.84281380519011,252558.54010342545,Visa,4203.377457811351,6503.932919261056,1549.786187107014,1070327.768918043,Cash,Delayed
A9800,C76429,Jane Smith,Other,17,ravi@gmail,+917163474861,Mumbai,,Savings,Active,T360413,2021-01-31,Transfer,9638.000130142389,GBP,Salary,City Center,Mr. Rao,,2513936.1086086365,21.977272270042747,4.0,,15.817270931571084,811767.3655063815,MasterCard,3472.0830613032554,2452.978888821731,306.2438723940053,1204951.758337745,UPI,Check required
A5254,C40174,,Male,36,ravi@gmail,+916164649951,Mumbai,UK,Loan,Banned,T605147,2023-05-03,Loan Payment,249942.47851140358,GBP,Salary,City Center,,,2506062.540506736,23.07970990066247,22.0,Stock,26.791118976730385,940782.9861783403,RuPay,2022.2703465023883,9090.838367924085,6300.23373260519,416414.4511635146,Credit,Delayed
